 ## - Mun beroštan das ahte mii {galget} geavahišgoahtit daid vejolašvuođaid mat eanandoalloopmodagain gávdnojit . #FIXED
 ## Mun dajašin nuppeláhkai " jus mii {galget} nannet sámi álbmoga , de fertet muitit iežamet historjjá , leš dal bahá dahje buorre " . #FIXED
 ## Sámi girjjálašvuohta sihkkárastá dan , ahte mii lávket boahtteáigái almma ahte mii {vajáldahttet} iežamet árbbi . #FIXED
 ##  Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ## – Ii leat válga vel , danne eat čohkket – Čohkkedit ii sáhte vaikko leat miehtebiekkas , easkka dál mii {álget} válgagiččuiguin . #FIXED
 ## Go sápmelaččat leat oassin servvodagas , de fertet mii maid gierdat ahte mii {namuhuvvojit} oktavuođain nu go Honnesváhki-revya bihtáin . #FIXED
 ## Mii háliidit ahte Sámediggi galgá čielggas dasa ahte mii {galget} leat aktiiva veahkki , ja veahkehit resurssaiguin nu ahte buohkat geat háliidit , galget sáhttit čađahit dakkár proseassaid . #FIXED
 ## Mii fertet čállit ođđa álbmotrivttiid ektui nu ahte mii {gáhtet} álbmotvuovdiina . #FIXED
 ## Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ##  Dál lea áigi ahte mii {atnet} ávkki nubbi nuppis ja bargat ovttas anne lihkostuvvat ollásii dáinna prošeavttain ja ahte dát oidnogoahtá suohkaniin . #FIXED
 ## Dan rádjái goit liikká ii leat čájehuvvon ahte doppe leat boasttuvuođat , nu ahte buot orru manname hui čorgadit , vaikke mii {attiime} áibbas eará áddejumi lávvordaga Ávviris , máid vel oktii šállosat . #FIXED
 ## Giitu ollu visot nuorat Jåhkåmåhkes geat serve leairras , ja giitu go mii {beasaime} leat ovttas dinguin daid guokte leairabeivviid ! #FIXED
 ## Go mii háliideimmet ahte visot galge čoahkkanit goahtái , de mii {čuorvvuime} ja sii vástidedje juste nu go ledje oahppan . #FIXED
 ## Go mii {háliideimme} ahte visot galge čoahkkanit goahtái , de mii čuorvvuime ja sii vástidedje juste nu go ledje oahppan . #FIXED
	## In mun dieđe gii {dáhtole} hearggi vuoitit ná maŋŋi giđa, vástida Mikkel Áilu. #FIXED
	## Odne dajai oahpaheaddji ahte jus buot bárefuoččat {livččii} dego mun, de gal oččošii steŋget skuvlla.
	## Riikkastivračoahkkin dajai ahte maŋideapmi livččii ávkin buohkaide, go buohkat {oččošii} buoret áiggi guorahallat Sámi vuoigatvuođalávdegotti árvalusa.
	## Dainna {unnošii} golut 403 000 ruvnnuin.
	## Mis leat Finnmárkkus olu njuovahagat, ja doppe gal sáhtáše njuovvat vel omiid nai, beare eiseválddit {ložžešii} daid oallut njuolggadusaid, čilge Máhte-Juhán.
	## Sii {lea} leamaš láidesteaddjin prošeavttas, ja sii berreše mihá ovdal signaliseret ahte soitet unnidit sin oasi fitnodahkii, oaivvilda Søderholm.
	## Sii leat leamaš láidesteaddjin prošeavttas, ja sii {berrešii} mihá ovdal signaliseret ahte soitet unnidit sin oasi fitnodahkii, oaivvilda Søderholm.
	## Sámi aviissat {dárbbašivččii} eará eamiálbmogiiguin doallat oktavuođa ja dárbbašivččii dan inspirašuvnna maid dat buktá, lohká Balto.
	#$ Danin rávvejin ahte muhtin ráje doaimmain, nugo Deanu kantuvra, {maŋiduvvoše} boahtte jahkái, lohká Finnmark Dagblad ovddasteaddji Haugen.
 #$ Das viidásat {sáhtášii} bidjat johtui ovdaprošeavtta ásahan dihte Sámi giellaguovddáža Mátta-Várjjagii ja vejolaš eará gielddaide Várjjaga guovllus .
 ## – Sierra sámi nuoraidfoanddas eai {galggašii} leat nu garra gáibádusat , galggašii leat vuollegis šielbmá vai sáhtašii juohkit ruđaid iešguđetge nuoraiddoaimmaide , čilge NSR Sámediggeáirras Susanne Amalie Andersen NSR evttohusa Sámedikke 2009 bušehttii .
 ## - Máddin borret dušše juovllaid áigge luopmániid ja sálteluosa , dáppe mii {čohket} luondduriggodagaid vai beassat beaivválaččat návddašit daid , lohká Kárášjoht nieida .
	## Čállosat {árvvoštallojuvvo} bustávvaárvosániiguin ( A – F ) ECTS vuogádaga mielde , mas A lea buoremus árvosátni ja E lea vuolemus ceavzinárvosátni . #FIXED
	## Eksámenat {árvvoštallojuvvo} bustávvaárvosániiguin A – F ECTS-vuogádaga mielde , mas A lea buoremus árvosátni ja E lea vuolemus ceavzinárvosátni .
	## Guoskevaš dokumeanttat nugo árvvoštallangirjjáš , hárjehallannjuolggadusat , jávohisvuođageatnegasvuohta , dohkálašvuođaárvvoštallan ja eará dehálaš dieđut {lea} oassin ráhkkaneamis . #FIXED
	## Sámi skuvladutkama , sámi dutkama ja álgoálbmotdutkama guovddaš bealit ja dutkama prinsihpat ja metodat {lea} guovddážis . #FIXED
	## Mii eat ákkastala evttohusaideamet , dannego evttohusat {lea} čilgehusa logalaš loahppabohtosat . #FIXED
	## Gaskajohtolaga logut {lea} 71,3 km ja proseantan dat šaddá 5,2 % . #FIXED
	## Ráji guhkkodat , eatnama hápmi ja guovllu muohtadilálašvuođat {lea} dakkárat ahte ii leat ávki hukset áiddi . #FIXED
	## Stuorámus guovllut {lea} Håfjellet ja duovdagat birrasiid Fjelltuva . #FIXED
	## Skotstind siskkit guovllut {lea} ovdal adnon geassejagi guohtumin , muhto guovllus {lea} lossat johtit . #FIXED
	## Geasseguohtumat {lea} buorit . #FIXED
	## Guovllu ruonasguohtumat {lea} duššefal 15,0 km . #FIXED
	## Siiddat {lea} juhkkon dannego Bihtánčázádat juohká čearu bievlaguohtumiid . #FIXED
	## Barturtesiidda geasseguohtumat {lea} muhtinráji lulábealde Mávasjávrri ja lagas konvenšuvdnaguovllu , ja muhtinráji fas Gaisenjunne ja mannet vuolás Stenudden buohta . #FIXED
	## Nuorttamus guovllut {lea} nu lahka rittu , ja danne eai dássáiduva muohtadilálašvuođat ovdalgo jahkemolsumis . #FIXED
	## Riddoeatnamat {lea} gáissát . #FIXED
	## Areálat {lea} almmatge váldon industrialiserema atnui // ja olmmošeatnatvuohta , ja nu leat árrašaddoguovllut gáržžiduvvon . #FIXED
	## Oktiigeassu Dat gullon Allarievttiduomut {lea} gáržžidan boazosámiid guođohanvuoigatvuođaid dáin guovlluin . #FIXED
	## Mánát {liiko} . #FIXED
	## Vuogit {mearriduvvo} gonagaslaš resološuvnnain suoidnemánu 1. beaivvi jagi 2005:as . #FIXED
	## Geasseguohtuma ruonasšattut {lea} varas guolban ( 227,0 km ) , rásseeanan ( 182,5 km ) ja seamulvallji // urtavallji soahkevuovdi ( 174,7 km ) . #FIXED
	## Dát duovdagat {lea} oassin Dápmot // Rostu konvenšuvdnaguovllus ja dat leage Rostu orohat . #FIXED
	## Kárttat {lea} deaŧalaš gaskaoamit gielddaide ja fylkkagielddaide areálahálddašeami oktavuođas , juoga maid lassanan geavaheapmi orru čájeheame . #FIXED
	## Váilevaš oahpaheaddjit {lea} maid váttisvuohtan seamma ládje go váilevaš ávdnasat leat iešguđetge sámegielat oahppofáttáide . #FIXED
	## Buohccibiillat {lea} Ohcejogas ( ovtta olbmos lea bargovuorru ja válda mielde nuppi dearvvašvuođabargi dearvvašvuođaguovddažis jus šadda vuolgit ) ja Gáregasnjárggas ( ovttas bargovuorru , ja geahččala oažžut nuppi mielde jus šadda heahtevuolgga ) . #FIXED
	## joavkkut {lea} eallán Ruotas guhkes áiggi. #FIXED
	## Digitála gálggat {mearkkaša} ovdánahttit máhtu dahkkivuoigatvuođa ja personsuodjalusa birra dárkkisdahtti gáldočujuhusaid bokte . #FIXED
	#$ "Digitála gálggat" {mearkkaša} ovdánahttit máhtu dahkkivuoigatvuođa ja personsuodjalusa birra dárkkisdahtti gáldočujuhusaid bokte . #FIXED
	## Váldooassi geográfalaš gáldut ja reaiddut {fátmmasta} geavahit kárttaid , govaid , báikenamaid , statistihka ja geográfalaš diehtovuogádagaid . #FIXED
	#$ Váldooassi "geográfalaš gáldut ja reaiddut" {fátmmasta} geavahit kárttaid , govaid , báikenamaid , statistihka ja geográfalaš diehtovuogádagaid . #FIXED
	## Váldooassi resurssat ja ealáhusdoaimmat {gieđahallá} maid resurssat mearkkašit báikádeapmái , ealáhusovdánahttimii ja ássamiidda ja dasa gullá maid árvvoštallat báikádanfáktoriid mat čatnasit dálá máilmmiviidosaš ekonomalaš doaimmaide . #FIXED
	#$ Váldooassi "resurssat ja ealáhusdoaimmat" {gieđahallá} maid resurssat mearkkašit báikádeapmái , ealáhusovdánahttimii ja ássamiidda ja dasa gullá maid árvvoštallat báikádanfáktoriid mat čatnasit dálá máilmmiviidosaš ekonomalaš doaimmaide . #FIXED
	## selvehit makkár vuoigatvuođat {lea} sámegiela hárrái.  #FIXED
	## Kapihttalat {lea} áiggi dáfus maŋŋálaga nu guhkás go vejolaš .  #FIXED
	## Goalmmát olmmoš geas lea vuoigatvuohta láigoheaddjioopmodahkii , ii sáhte vuosttaldit ahte viessosadji maŋŋá lonistuvvo , jus son {fertet} adnot leat mieđihan láigoheapmái almmá bidjamis eavttuid lonisteami vuostá . #FIXED
	## Strøm Bull deattuha ahte son {kommenteret} obbalaš dásis , go ii dovdda dán konkrehta ášši . #FIXED
	## Go maŋŋá fas lean oaidnán dan seamma láttána , guržo dahje turista , go son {leat} bivddus lihkostuvvan , de lea son aiddo loktaneamen ávvudeamis . #FIXED
	#$  Mun {oainnát} ballen dan áhkus , dat lávii ovtto bahádallat . #FIXED
	## Jus don válddát ovddasvástádusa , de fertet deattuhit maid don gáibidat ja ahte son {barggat} garrasit vuoi oláhat iežat mihtuid . #FIXED
	## Danin eai gula sátnevádjasat dušše doložii , muhto leat baicce ealli njálmmálaš riggodat , nugo moai {čállá} ge girjji ovdasánis .  #FIXED
	#$ Ánnes goas soai vuoiŋŋasteaba , de son muitala ahte gal soai {geassit} váldiba friddja ja vuoddjába Deatnogáddái Niljotnjálbmái , bivdiba doppe luosa dahje mannaba Várjavutnii bivdit sáiddi ja dorski . #FIXED
	## Ávvir čálii ovdal dán vahkkus ahte Odd Erling ja su searvvi stivrajođiheaddji Mikhail Pogodaev mátkkošteaba Amerihká New York gávpogii , gos soai {galgá} oassálastit ON čoahkkimis .  #FIXED 
	## Juo , olmmoš ferte máksit vearu nu ahte mii {oaččut} nuvttá skuvlla ja dearvvašvuođabálvalusa . #FIXED
	## Buot jávkan lea čállon beavdegirjái cuoŋománus , dat geazuha ahte lea dušše sáhka johttisámemánáin , go dii {gerge} skuvllas beassášáigge . #FIXED
	## Searvvis leat miellahttun sii geat leat leamaš almmolaš lávdde alde juoigame viđa geardde dahje almmuhan CD-skearru , ja nuoraide geat {lea} vuollel 25 jagi ges lea eaktun beassat miellahttun ahte sii {juoiget} vihtta luođi CD:i ja sáddejit Juigiid Searvái dohkkehan dihte iežaset luohtečehppodaga , dahje leat golmma geardde almmolaččat lávdde alde juoigan . #FIXED
	## Lágideaddji Charlotte Eira ii jáhke ahte eambbosat {livččii} šat čáhkat latnjii gos čájáhus lei.  #FIXED
	## In jáhke ahte {livččii} čáhkat eambbo olbmot latnjii gos showa lei.
	#$ Sus {livčče} galgan leat guhkes, čuvges vuovttat, jurddašii son.  #FIXED
	## {Livčče} hui suohtas jus nu olu olbmot go vejolaš boađášii, ja nu oallugin go vejolaš lea gákti badjelis.
	#$ BB, SG ja GB {ferteše} addet ahte ii KS:as doaimmahuvvo politihkka ii ge fápmu.
	## Dál berrejit olgeš- ja ovddádusbellodat gávnnahit maid sii háliidit, nubbi {háliidivčče} heaittihit ee. sámedikki ja nubbi fas ii.
	#$ Mun sugan ja dii váldibehtet uštegiid skoahtas ja {luoitet} guoktelot mehtera siimma.

	


 Linda!
 
 #$ Ecstasy tabeahtat leat earenoamáš várálaččat dan dihte go dat leat dego dohkkehuvvon suohtastallan gaskaoapmin bures lihkostuvvan nuoraide, {lohkaba} nuoraidbargit Álttás ja Guovdageainnus.
 #$ Doppe galget leat teáhter čájálmasat, {dánsumat}, lávlun ja juoigan.
 #$ Dat báhčet juohke čivgga maid oidnet go {leat} čeahpes beatnagat.
 #$ Sivva dasa go dáid áinnas hálidit bivdit ii leat dušše danin go {leat} stuoribut, muhto dain lea maiddái guollevuodja bierggus ja lea danin dearvvašlaš borramuš.
 #$ Muhto Čere orui nu siivui, ja go muitalii iežas historjjá birra, leimmet mii juo {ollen} buorit olbmážagat šaddat.
 #$ Riikkas leat sierralágan váttisvuođat iešguđetguovlluin, danin {lea} buorre beassat iežas čalmmiiguin daid birra gullat ja oaidnit, muitala son.
 #$ - Na..., de balan ahte listu ii sáhte dohkkehuvvot, vaikko {livčče} ge 9 listoevttohusa nugo lea gáibádus.
 #$ Eará ášši mii dagaha ahte leat nu stuora erohusat iešguđet suohkana ruhtadilis, {lea} go muhtun báikkiide juolluduvvo ruhta merkejuvvon doaimmaide ja maiddái addojit eará doarjagat.
 #$ Ságat {čállá} eanemusat sámi áššiid, ja lea sámi aviisa.
 #$ Jus leaččat áigumen gilvvu čuoigat, de lea stuora hástalus časkit Åshild Storeviika dahje Øystein Rønbecka geat máŋga jagi juo {leaba} vuoitán. 
 #$ Ii han sámegiella duohtavuođas leat eará go bustávat maid {sáhttá} sátnin ráhkadit ja sániin sáhttá cealkagiid ráhkadit.
 #$ Fertejin vuos gullat leat go sii {ožžon} dien homofiila sátnái čilgehusa.
 #$ Jus dat dohkkehuvvo Stuoradikkis dan hámis go lea, de šaddá mihá garrasit suodjalus juohke skuvlamánnái, ahte das galget leat vuoigatvuođat oažžut ovdamearkkadihte sámegiel oahpu, dadjala SOR direktøra.
 #$ Dál lea nu ahte sámegiel oahpaheapmi galgá addot go leat unnimusat 3 oahppi skuvllas, {čilgesta} Ellen Inga O. Hætta.
 #$ Go nubbe vuorru álggii, {leigga} Guovdageainnu hárjeheaddjit Johan Mathis Hætta ja Raymond Jacobsen molson čikčiid.
 #$ Sáhttá leat ahte cabaret mii ii leat nu duođalaš, lossat, go olu teáhterčájáhusat, {lea} váikkuhan ahte neavttárat eai leat čadnon nu nannosit njuolggadusaide.
 #$ Jus livččii buoret áigi leamaš čállimii ja ráhkkaneapmái, {livčče} olu hálbbes poeŋggat soaitán gahččat eret.
 #$ Muđui leat sierralágan kulturdoalut, {muitala} okta lágideddjiin, Olav Mathis Eira....
 #$ Mis han leat olu duodjesánit juo mat muitalit ahte leat dáppe guovllu luonddus váldon, nugo omd. cekkežat, {ruvden} ja diekkár sánit.
 #$ Heittot ealát lea sivvan go bohccot mannet diekkár báikkiide, {lohká} okta eaiggádiin, Nils Máhtte Skum, Guovdageaidnu. 
 #$ Mii gal leat nu galbmon ja váiban ahte fertet ruovttu vuolgit ohcat, {gulluiga} mu nieidaolbmát mearrideame.
 #$ Earet eará son čujuha man heitot dutkanbarggut čađahuvvojedje singuin geat ledje sivahallojuvvon, ja geat áššáškuhttojuvvo, {dubmehallo} ja maiddái steavliduvvo dán áššis.
 #$ Jus nu namma ii gávdno jienastuslogus mii lea biddjon almmolaš gehččui, dahje jus {leat} eará meattáhusat jienastuslogus, sáhtát váidalit válgastivrii ovdal miessemánu 24. b. dii. 15.00. 
 #$ Danin {leimmet} olu buorebut go Honnesváhki, lohká Bákteváre lunttaid veahkkehárjeheaddji, Isak Ole Hætta.
 #$ Jus dat leat duođat {sáhttá} dat mielddisbuktit eahpádusa ja balu nuorra sápmelaččaid gaskkas joatkit / álgit oahpu váldit Hápmira joatkkaskuvllas.
 #$ Ii Sámedikkis leat álo dušše somá, muhtomin {leat} lossa áššit ge maid šaddá meannudit, muitala Aŋŋel lávlunieida Outi Länsman.
 #$ Easka de {livčče} joavdelasat dohkkehuvvot seamma dásis olmmožin go earát.
 #$ Danin leat mii ovttasráđiid stádain šiehtadallan dan ahte boazolohku guđetge doaluin {galgá} biddjot 600.
 #$ Sivvan dasa go nu ollugat leat dieđihan iežaset jienastuslohkui, {lea} diehttelas dat ahte dál besset buohkat geain leat, dahje ledje váhnemat, áhkku ja áddjá, dahje máttarváhnemat geain lei sámegiella ruovttugiellan.
 #$ Munnje leat diekkár ságat issoras váivin, dat {lea} nu váivi ahte mun dainna giksašuvan álohii, sihke de go lean unnán olbmuid siste ja maiddái de go lean ollu olbmuid siste.
 #$ Mii berret dál ieža ráhkadit ođđa árbevieru, ja ráhkadišgoahtit ođđa luđiid ja máidnasit.
 #$ Go OD veardida visumaddima, deattuhit sii {guođđá} go ohcci riikka fas mieleavttus maŋŋil go visumáigi lea nohkan.
 #$ Lea deaŧálaš oažžut čielga rutiinnaid das mot buhcciid ja iešguđetge lágan roasmmehuvvamiid {galgá} dikšut ja gean ovddasvástádus ain lea gokko ge systemas.
 #$ Go geahččá sámiid historjjá, de {oaidná} man eahpelunddolaččat riikarájit leat.
 #$ Máŋgga dáfus dien guokte sárdneolbmá {sáhttá} bálddastahttit.
  #$ Dearvvuođat Bávlosis , Ipmila {dáhttu} mielde Jesus Kristusa apoasttal , Efesosa bassi olbmuide , geat oskot Kristus Jesusii .
    #$ Dat go nuppebealde joga eai leat seammá čielga njuolggadusat , {sáhttá} oainnát maid dagahit ahte olbmot eai beroš man dehálaš lea ráidnet ja dálkkodit rusttegiid .
#$ Kárášjoga gielda lea okta dakkár sámegilli , gos gielddaluottat measta govddodit {stánže} jávrriin .
#$ stánže ságat leat {stánže} ságat , muhto ledje liikká dán ge háve guldalanveara .
  ## Vai leat go mu áigumušat dušše iežan {dáhttu} mielde , nu ahte mieđihan go duođaid dáhtun biehttalit ?
  #$ Min áŋgiruššan dán áššis lea ovdánan dađistaga go mii leat oaidnán ja vásihan man váttis lea gárrenmirkkoboasttogeavaheaddjái oažžut dan veahkki ja divššu go {dáhttu} dan ja goas sii dan bivdet .
#$ Ipmila olbmot berreše danin bálvalit dakkár oktavuođain , mas beassat ieža stivret , Ipmila {dáhttu} mielde .
#$ Dál ožžot riikkabeaiveáirasat vuogas liibba čájehit politihkalaš {dáhttu} bargat áššiiguin , joatká Josefina Lundgren Skerk .
 #$   ## oskuigullevaš ja vuoiŋŋalaš opmodagat sin friddja {dáhttu} ja lobi haga .
  #$ Norggas leat sullii 250 gieldda ja buot fylkkagielddat ovdanbuktán {dáhttu} bargat dákkár gažaldagaiguin dan bokte go servet - nammasaš julggaštussii .
#$ ” Duodji ” lea earenoamáš sámi giehtabargu ja ealáhusvuohki mas {lea} guhkes árbevierru , ja seammás dat maid gaskkusta dehálaš oasi sámi giehtaduodjeárbevierus.. #FIXED
    #$ Vuoddji riŋgii veahki maŋis , ja mun dollen máná gean doivon ceavzit , muhto son jámii mu gieđaid gaskii , muitala Utsi . #FIXED
    #$ Ofotens Samiske forening prošeakta ” Oahppat sámegiela juoigama ja lávluma bokte ” lea prošeakta mas {lea} ulbmil oahpahit mánáid ja nuoraid juoigat ja lávlut , ja dakko_bokte hástalit mánáid ja nuoraid oahpahallat sámegiela . #FIXED
    #$ ” Eallin ” oallu vuonain ii leat nu movt {galggašii} , ja iešguđetlágán doaimmat fertejit farggamusat álggahuvvot vai ássan sihkarastojuvvo . #FIXED
    #$ Okta vejolaš čilgehus diesa sáhttá almmatge leat ahte lullisámi guovlluin ožžo olbmot árabut go eará guovlluin dan ipmárdusa ahte lei “ buoremus ” dárustit . #FIXED
#$ Danne buktá prošeavtta ” Buoret árvvoštallangeavahus ” doibmiibidjan oahppoplánageavahusa plánadásiide , ja sávvamis {vuogáiduhttá} guđeláhkái oahpaheaddjit ja skuvlajođiheaddjit barget árvvoštallaneavttuiguin ulbmilrelašuvnnas , ja viidáseappot veahkehit oahpaheddjiid maiddái konkretiseret gelbbolašvuođaulbmiliid iešguhtetge oahppi oahppoulbmilin . #FIXED
 #$ Ovddamearkka dihte mo diehttit {mieđiha} go buohcci vai lea go son duođaid nuppi oaivilis . #FIXED
 #$ Dát hálbbida hálddašit Sámedikki go mii gieđahallat beaktilabbot , go mii ráhkadat fágasurggiid main lea ovdasvástádus ja mii {sáhttet} organiseret hálddahusa buorebut , nu ahte ruđa sáhttit buorebut ávkkástallat , čilge Olli . #FIXED
 ##  – Mii navdit leat soađi áiggi granáhttan , muhto dán mii {eai} dieđe ovdal go suodjalusa bombačeahpit leat iskan dán , muitala Kárášjoga leansmánni Svein A. Hanssen guhte lea gidden sihke oadjoguovddáža ja šilju . #FIXED
 #$ Mii eat leat soabadan mo mii áigot finansieret guovddáža , muhto fágalaš bealit leat duođaštuvvon hui bures , {lohká} Robertsen . #FIXED
	#$ Dát evttohusat gottáše min, ja {sáddeše} 15 olbmo bargguhisvuhtii.
 #$ – Goittotge oasusgotti siste galggašii čielggadit dáluid vuoigatvuođaid , vai {sáhtašii} garvit oasálaččaid gaskasaš riidduid , mat maŋimustá duopmostuoluin šaddet divrrasin . #FIXED
 #$ Jahkásaččat sturrot dievdolbmuin bealjit gaskamearálaččat 0,22 mm dássá {deavdá} 30 jagi . #FIXED
 #$ Kollstrømmat Máskejogas Deanus leat áibbaš dábálaš bearaš , eat buoret ja eatge fuonit go eará bearrašat , {deattuha} Bøyum. #FIXED
 #$ Livččii vejolaš dustet váttisvuođaid go oahpaheaddjit váilot jus sáhtášii doarjut davviriikkalaš sámegielat oahpaheddjit mátkoštanvejolašvuođa skuvllaid gaskkas .
	#$ Čuolbmadii daid oaive-čohkkii, ja jurddašii {heiveše} go son nie buoremusat.
	## Muhtimin gullosta dego gii nu {bosodivčče} njurgganasa.
	#$ Čállingoddi {gulaše} dasto ON vullosažžan.
	#$ Okta eará mávssolaš oassi maid lávdegoddi {galggaše} guorahallat, lea nissonolbmuid, mánáid ja vivaid/manjiid sadji boazodoalus.
	#$ Dat lea hui váidaláhtti, go de šattašii logut earálágánat, {loahpaha} son.
	#$ Hirvosa mielas bargu livččii viidon menddo stuorisin jus {livčče} geahččalan váldit fárrui buot sámi nissongirječálliid, nuba son ráddjii dutkanguovlun Davviriikkaid.
	#$ Jus eiseválddiin livččii dáhttu bargat maidege áššiin, livčče sii sáhttán gáhttet stuora boazojámu nealggi geažil, {lohká} Dyrebeskyttelsena jođiheaddji Tatiana Kapstø.
	#$ Mearkkašivčče hirbmat ollu sámi musihkkii dakkár beroštumit, {lohká} Niko.
