[lemma = "čohkat"]
Boađus: 153							
	#North Saami administrative corpus –
– Vuosttaš jagi go álggahii iežas fitnodaga 	čohkkái 	bajis ijatbeaivvi , illá mun oidnen su , dadjá Áslat Simma , gii lea sivalaš dasa go Erica guhte lea bajásšaddan beahcevuovddis Duortnosleagis , lahka Suoma ráji , bisánii Áđevuopmái . #bajis (ADVL) #ERR-DIS
– Lea buorre dovdu , muhtomin miella dadjat Yess , mun nagodin , birgejin , moddjá son duđavaččat go 	čohkkohalle 	su bargobájis . #Sem/Plc (ADVL) #ERR-GRAM
Go dábáleamos luossabivddus suhkko vuosterávdnjái seammás go 	čohkko 	fatnasis dušše mieđás čalmmiid johkii . #Sem/Veh #ERR-GRAM (čohkkát)
	Čohkket 	dološ skuvlaoahppásiid #Sem/Hum #ERR-DIS
Eahkedis 	čohkki 	Lloyde olbmáideaset bankehttii . #Sem/Hum #ERR-GRAM (čohkkii)
– Mánát ohppet mo galgá dolastallat , gávdnat goikemuoraid ja 	čohkat 	bassemuora , muitala oahpaheaddji Gunn Kirsti . #Sem/Mat #CORR
Dal mun das dušše 	čohkkohalan 	ja vuorddašan suoli . #0 #ERR-GRAM (čohkkát)
Muhtomin ledje golbma olbmo geat 	čohkkohalle 	beaŋkkas . #Sem/Plc #ERR-GRAM (čohkohallat)
Doppe oažžu mállásiid ja gáhkuid oastit , dahje dušše 	čohkat 	ja humadit . #0 #ERR-GRAM (čohkkát)
– Olbmot leat mannan feara guđe guvlui , iige daid leat álki 	čohket 	. #ERR-GRAM (čohkket)
Ovddit háve 	čohkkái 	dušše soames kantuvrras ja rehkenasttii man ollu kvadratmehterat guđege orohagas leat ja galle bohcco čáhket guđege kvadratmehterii . #Sem/Build-part #ERR-DIS
Sis lei hui buorre oktavuođa guldaleddjiiguin , ja doaivut sis čuvges boahtteáiggi musihkka dáfus , lohká Øyvind Stangnes , gii maid 	čohkkái 	juryas . #Sem/Hum Sem/Group #ERR-DIS
Ledjen eske mánáidgárddi olggobealde 	čohkkohallamin 	ja de oidnen mánát ledje ráhkadeamen juovlakoarttaid . #Sem/Plc (ADVL) #ERR-GRAM (čohkohallat)
Lea buorre go mus lea girji , in láve sáhttit 	čohkat 	jaska jus lea juoga maid imaštalan . #MANNER-ADJ #ERR-GRAM (čohkkát)
Go son lei 	čohkkohallan 	oanehaš de láittastuvvagođii ja vulggii váccašit . #0 #ERR-GRAM (čohkohallat)
Guokte Budejju nissona leigga ráhkadan váimmu suiniiguin ja rásiiguin man siste soai 	čohkkáiba 	ja návddašeigga iđitborramuša . #Sem/Plc (ADVL) #ERR-DIS
Muhto 	čoga 	fal gaccaid bastilin ja njávggo dassái go beavdái boahtigoahtá , jus jo ii áiddo guolli , de goit politihkalaš boađus ja nu maid rievdadus . #Sem/Body #CORR
Vuosttaš lávki lei vuođđudit Initiatiivajoavkku ( IJ ) sámi parlameanta vuođđudeapmái , gos bargu 	čohkki 	guovtti stuora sámi organisašuvnna – AKS ja OOSMO . #Sem/Org #ERR-GRAM (čohkket)
Mirkoduvvon čáhci ( 1,8 trillion lihtera beaivvis ) 	čohkkojuvvo 	stuorra dahkkojávrriide gos mirkkut golget lagaš Athabasca-johkii . #Sem/Plc (ADVL) #ERR-GRAM (čohkkejuvvo?)
Buoret 	čohkkát 	giddagasas viisáin , go hovrriin paradiijásis . #Sem/Org (ADVL) #ERR-DIS
Guokte Budejju nisu leigga ráhkadan váimmu suinniiguin ja rásiiguin man siste soai 	čohkkáiba 	ja návddašeigga iđitborramuša . #0 #ERR-DIS
Sii eai leat 	čohkán 	earo diibmobeali , muhto son jo máhttá vástidit : In , orun goađis . #Sem/Time (ADVL) #ERR-GRAM (čohkkát)
– Dákko báikkiid geaigájedje alla 	čohkat 	bajábeal jieŋa . #ERR-DIS (čohkka)
Muhto mieđihan ahte mii leat leamaš eahpečielgasat dan ektui man guhká okta stivra galgá 	čohkat 	. #0 #ERR-GRAM (čohkkát?)
	Čohkket 	sámi artisttaid #Sem/Hum #ERR-DIS
Son muitala ahte dat dievdoveahketelefovdna fálaldat mii dál lea , sáhttá addit boasttu áddejumi gaskal dievdu ja son gii 	čohká 	telefovnna duohkin gii gálgá veahkehit dievddu . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
Ávvir lea ovdal čállán ášši sámi fáŋgga birra guhte 	čohká 	Romssa giddagasas . #Sem/Plc #ERR-GRAM (čohkkát)
Soai 	čohkába 	seaidneguoras ja muittašeaba borggudettiin duhpáha . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
Láhttái ledje lebbejuvvon dievva duoljit maid alde lei buorre 	čohkkohallat 	ja juoiggastit Irenein . #0 #ERR-GRAM (čohkohallat)
	Čohkket 	ja logis diktagirjji , go lea albma gelddolaš beassat vásihit nuorra sámi bártni máilmmi . #0 #ERR-DIS (čohkkedit)
	Čohkket 	ja logis diktagirjji , go lea albma gelddolaš beassat vásihit nuorra sámi bártni máilmmi . #0 #ERR-DIS (čohkkedit)
Doppe 	čohká 	measta álo muhtin stivralahtu . #Sem/Plc (ADVL) #ERR-GRAM (čohkká)
­— Dál ii leat go dás 	čohkkohallat 	, ii leat šat ávki eará , mojohallaba Maire Aslaksen ja Inga Elisa Påve go sensorat giddejit uvssa ja mannet bidjat duomu sin bargguide . #Sem/Plc (ADVL) #ERR-GRAM (čohkohallat)
De doalvu mánná miesi Niillasii gii 	čohkkohallá 	horstta alde gos son mearku iežas misiid . #Sem/Plc (ADVL) #ERR-GRAM (čohkohallat)
De doalvu mánná miesi Niillasii gii 	čohkkohallá 	horstta alde gos son mearku iežas misiid . #Sem/Plc (ADVL) #ERR-GRAM (čohkohallat)
Ledjen eske 	čohkkohallamen 	muoras ja geahččamen giđa ipmašiid . #Sem/Plant-tree (ADVL) #ERR-GRAM (čohkohallat)
Muhtin boares áddjá ja nuorra bárdni 	čohkkohalaiga 	goabbat beaŋkkas parkenis . #Sem/Furn (ADVL) #ERR-GRAM (čohkohallat)
Áddjá 	čohkkohalai 	ja geahčai spábbačiekčama TV:s.Fáhkkestaga dadjala : – Vuoi gávri , ii oktage moalla . #0 #ERR-GRAM (čohkohallat)
	Čohkket 	dása ! #ERR-DIS (čohkkedit)
Bargiidbellodat láhpii olles guhtta proseantta , ja livčče válggas 	čohket 	dušše 25,9 proseantta jienain . #Sem/Part #GRAM-ERR (čohkket)
Duvka lei 	čohken 	arvečázi , ja dát golggai oaivejietnabeavddi ala . #Sem/Substnc #GRAM-ERR (čohkket)
Dat muhtin guhte 	čohká 	buvddas , lea son gii jođiha buvdda , su namma lea Steinar Eilertsen . #Sem/Build (ADVL) #GRAM-ERR (čohkkát)
Oktiibuot olahii 338 čuoggá oktan 	čohkkon 	243 čuoggá . #Sem/Semcon #ERR-GRAM (čohkket - čohkkejuvvon)
RSS leamaš « dat sápmelaš liibma » 	čohkket 	olbmuid . #Sem/Hum #ERR-DIS
	Čohke 	dihkáid ja gierragii guđđe dávjá moadde oavssi , dalle oidnui dihkká buorebut . #Sem/Obj-long #CORR
Dat mielddisbuktá ahte barggut 	čohkkojit 	látnan SOR bevddiid ala . #Sem/Obj #ERR-GRAM? (čohkkát)
Oktiibuot šaddet mánát badjel 3 tiimmu vuordit juohke vahkus ja skuvlajagis 	čohkko 	dát olu tiimmuin . #ERR-GRAM (čohkkejuvvot/čoggo)
	#North Saami religion corpus –
» Dállodoalli dajai sutnje : « Dá lea du vealgečálus , 	čohkán 	dállánaga ja čále vihttalogi . #0 #CORR (čohkánit)
» Dállodoalli dajai sutnje : « Dá lea du vealgečálus , 	čohkán 	dállánaga ja čále vihttalogi . #0 #CORR (čohkánit)
Ipmilvárri lea Bášanvárri , Bášanvárri lea 	čohkkái 	. #0 #CORR (legge til)
Manne , dii alla 	čohkat 	, mulgubehtet dan várrái man Ipmil lea dáhtton orrunbáikin , gos Hearrá áigu orrut agálaš áigái ? #0 #ERR-DIS (čohkka)
Sus lea eatnama čiekŋalas gieđas ja váriid 	čohkat 	opmodahkan . #0 #ERR-DIS (čohkka)
6 068:016 Ipmilvárri lea Bášanvárri , // Bášanvárri lea 	čohkkái 	. #CORR (legge til)
6 068:017 Manne , dii alla 	čohkat 	, mulgubehtet dan várrái man Ipmil lea dáhtton orrunbáikin , // gos Hearrá áigu orrut agálaš áigái ? #0 #ERR-DIS (čohkka)
6 095:004 Sus lea eatnama čiekŋalas gieđas // ja váriid 	čohkat 	opmodahkan . #0 #ERR-DIS (čohkka)
Dan gelbbolašvuođa mii searvegottiid oskkuoahpahusmieldebargiide lea 	čohkkon 	ruovttu #ERR-GRAM??? (čohkkejuvvon/čoggon)
	 #North Saami facts corpus –
Fágabargi sáhttá ohcat 	čohket 	3 jagi DOB-barggu ovtta áigodahkii #Sem/Act #ERR-GRAM (čohkket)
Čujuhit erenoamažit Leage Várrogas-plakáhta 4.5 čuoggái mas geassá 	čohkkái 	makkár áššiid galgá deattuhit . #0 #ERR-GRAM (čoahkkái Adv - čoahkkáigeassit) #ERR-GRAM (gessojuvvo)
Čujuhit erenoamažit Leage Várrogas-plakáhta 4.5 čuoggái mas geassá 	čohkkái 	makkár áššiid galgá deattuhit . #0 #ERR-GRAM (čoahkkái Adv - čoahkkáigeassit) #ERR-GRAM (gessojuvvo)
Mus maid láve mu eahki-rohkki leat lagamuš go 	čohkán 	su viesu tráhpa alde . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
Dál ain sáhtan muitit su jiena go 	čohkkohattan 	tráhpa alde . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
	čohkket 	dieđuid lagasbirrasis diiddaid ja sátnevádjasiid birra ja movt daid geavahit beaivválaš eallimis #Sem/Prod-cogn #ERR-DIS
- sekundára : 	Čohkket 	Mátta-Várjjaga oahppoguovddážii - erenoamáš áicilvuohta nuortalašsámegillii #Sem/Plc #ERR-DIS
	čohkket 	fágalaš gelbbolašvuođa ja koordineret ressursaid #Sem/Feat #ERR-DIS
Ja 	čohkket 	dieđuid mat heivejit dákkár gaskkusteapmái sihke dálá ja dološ áiggi birra . #Sem/Prod-cogn #ERR-DIS
Muittán ahte oktii galgen dušše mannat 	čohkat 	liántta , muhto oahpaheaddji šlivgii mu garrasit pultta vuostá . #Sem/Obj-long #CORR
Ii ge son duostan lihkastit ovdal go bakkus fertii danin go nu unohasaid 	čohkkái 	. #MANNER (ADVL?) #ERR-GRAM (čohkkát)
	#North Saami fiction corpus –
Badjealbmát vurde miessemearkuma , eanadoallit 	čohke 	hášestoalppuid , ordnejedje bargobiergasiid . #Sem/Obj #CORR
Nai dieđán rievssaha rupmaša sinne lea geahppát , čotta , čoavji , čoalit , 	čohkki 	. #0 #ERR-GRAM?  #ERR-GRAM (cohki? - váibmu dahje samlet?)
Áviisa čállá stuorsáhpán lei gáskkistan aitto giehtagávvii gokko varravárri lea njuolganaga 	čohkkái 	. #0 #ERR-GRAM (čohkka N)
Dugo gobba julggiiguin givvo vai boahtá gopmut ja julggiide , 	čohkkohaddá 	stáibbut , čalmmit geiget – maid son gávir lea šlaggan ? #MANNER-ADV (ADVL) #ERR-GRAM (čohkohaddá	čohkohaddat+V+IV+Ind+Prs+Sg3)
	#North Saami law corpus –
Juo ovdal Ruoŧa alimusrievtti duomu lei Davviriikkalaš sámi instituhta mielbargi , mag. art. Alf Isak Keskitalo 	čohkan 	gažaldaga ná Romssa dávvirvuorká logaldallamis 1979 čavčča : #Sem/Prod-ling #CORR #Duommá
	#Min Aigi corpus –
– 	Čogat 	sámegiela vuostá #?? #ERR-GRAM (čogastat??)
– 	Čohkket 	materiála Voronja gili sámiid eallimis Aleksandra Antonova 3 300 FIM #Sem/Prod-cogn #Sem/Mat #ERR-DIS
– 	Čohkket 	lávlagiid , máidnasiid ja muitalusaid Olenegorskka sámesearvi 10 000 FIM #Sem/Txt #ERR-DIS
Tor Mikkel 	čohká 	áibbas jáska . #0 (MANNER-ADV) #ERR-GRAM
Ruoná čalmmiiguin ja moji- njálmmiin son 	čohká 	stuolus diskka duohken ja vuordá maid mun áiggun jearrat . #Sem/Plc (ADVL) #ERR-GRAM
Doppe lea 	čohkkohaddan 	olles geasi . #Sem/Plc (ADVL) #ERR-GRAM
– 	Čohkket 	ja vuovdit boares dávviriid lea maid mu dietnasa oassin , iige dušše dáidda . #Sem/Obj #ERR-DIS
Boazodoalus sirdašuvvan turistafitnodat eaiggádin , ii leamašan Odd Henriksenii , Leavvajogas , almmi feaskkáris 	čohkkohallat 	. #Sem/Build-part #ERR-GRAM
Miellačájeheaddjiid jođiheaddji , nuoraidskuvllaoahppi ja oahppiidráđi ovdaolmmoš Anette Guldbjørnsen ( ovddimuččas ) , 	čohkkin 	nuoraidskuvlla oahppiid olggobeallái Kárášjoga Ráđđeviesu gos sátnejođiheaddji fertii váldit sin vuostá . #Sem/Hum #ERR-GRAM (čohkket)
– 	Čohkket 	Nordlysa ressursaid galgá buoridit valáštallansearvvi ovttasbarggu ja dahkat vejolažžan loktet valáštallan dási buot surggiin , čállá Nordlysa jođiheaddji Nils Johan J. Gaup Nordlysa ruovttusiidduin . #Sem/Money #ERR-DIS
	Čohkket 	oktan stuora searvin #oktan #GRAM-DIS
Ina Máret ( 3 ) 	čohkkohallá 	lávvorikki vuolde ja imáštallá gosa loavdda lea šaddan . #Sem/Plc #ERR-GRAM
Leat oanekaš muitalusat , máidnasat , divttat , noveallat ja dievva govat ja illustrašuvnnat maid sámi historihkkár ja girječálli Aage Solbakk lea 	čohken 	Deanu luossahistorjjás . #Sem/Txt #ERR-GRAM
Solbakk muitala ahte son lea 	čohken 	čállosiid mat vuohkkasit muitalit ja govvidit deanu luossahistorjjá doložis dássái . #Sem/Txt #ERR-GRAM
Su balddas 	čohká 	su isit , Bikk Áilu , Áslak A. Sara . #Sem/Plc #ERR-DIS
Mihkaš Heandarat , Hendrik Sara ( Bikkáilu čeahci ) 	čohká 	olgomužžas . #Sem/Plc??? #ERR-DIS
	Čohkket 	dál boradit , áhčči ! #0 #ERR-DIS
	Čohkket 	dál boradit , áhčči ! #0 #ERR-DIS
	Čohkket 	dál boradit , áhčči ! #0 #ERR-DIS
Dá Kristian Luoma 	čohkkohallame 	lávus . #Sem/Build (ADVL) #ERR-GRAM (čohkkát)
Das lávejit 	čohket 	didoriid ja searvat ovttas speallat . #Sem/Obj-el #ERR (čohkket)
Nuppi ija ii leat šat 	čohkan 	oktage dola birra . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
Mii leat 	čohkkohallame 	Ailo ruovttus , blohkkaásodat Hovseter báikkis Oslos . #Sem/Plc #ERR-GRAM (čohkohallat)
Romssa gáissáid vilges 	čohkat 	čuvget ja vuotna daid gaskas šleađgá giđđabeaivvážis . #ERR-DIS (čohkka N, -1 A Attr)
Virgái gullá : • 	čohkket 	teakstaávdnasiid • iskkadit stávendárkkistusaid ja sátnejuohkki • lágidit ovttasbarggu olggobeale iskkadeaddjiiguin • čállit ja jorgalit iešguđet osiid vuođđodokumentašuvnna • áimmahuššat prošeavtta almmolaš neahttasiidduid #ERR-DIS
Háltti galgá 	čohkagoahtit 	máddatgeahčen . #Sem/Plc (ADVL?) #CORR
Jos gierratgeahčen 	čohkagoađát 	dan , de gal guržehat iežat guollelihku olles jahkái . #CORR/ERR-GRAM
Beasat 	čohkkát 	dollagáttis mas oaččut sihke biebmo- ja gáfehája , suova ja ráfi . #Sem/Plc (ADVL) #ERR-DIS
- 	Čohkket 	ja viiddidit dieđu eamiálbmogiid birra . #Sem/Prod-cogn #ERR-DIS
Vihtta oappážaga 	čohkkohallet 	feaskáris ovdal go lea vuolgga Supmii ja sii leat Karen Hætta Gaup , Inger Anna Hætta Gaup , Ellen Marie Hætta Gaup , Susanne Hætta Vars ja Marit Hætta Sara . #Sem/Build-Part (ADVL) #ERR-GRAM
Čebu Son logai áigut boahtit go su isit lea 	čohkkon 	su guolggaid . #Sem/Body #ERR-GRAM (čohkut) - čohkon
Vuorbevuovdit 	čohkkohallet 	ja fáluhit vurbbiideaset juovlagávppašeaddjiide . #0 #ERR-GRAM
Ii ge sutnje oba čáhkan ge oaivái ahte helveha goddinleairra jođiheaddji dat die 	čohkkohallá 	beaivvádagas . #Sem/Wthr (ADVL) #ERR-GRAM
Hjørdis Nilsen 	čohkkohallá 	beavdeguoras gievkkanis ja moddjá dego beaivváš dál skábman . #Sem/Plc #ERR-GRAM (čohkat+V+TV+Der/PassS+V+IV+Der/h+V+Der/alla+V+Ind+Prs+Sg3 vs. čohkohallat+V+IV+Ind+Prs+Sg3)
- Mun ledjen 	čohkkohallamin 	Ohcejot njálmmii grillabeaŋkka alde muhtin geasseeahkeda , go mu lusa boahtá okta oahpes miljoneara ja jearrá mus , ahte sáhtášin go mun álgit sutnje vuoddjin go su vuoddji lea nu váiban . #Sem/Plc (Po) #ERR-GRAM
	Čohkket 	searaid ovtta robi vuollái #Sem/Feat #ERR-DIS
Justa dát sátni 	čohkalahttá 	buot olbmo beljiid ja áinnas go dakkár árvvusadnon almmái dákkáriid cealká . #Sem/Body (bealji) #CORR
Roger Ludvigsen 	čohkkohallá 	iežas musihkkastudios Oslos ja muittaša go Davvi-Norgga feastaspealuid direktevra čuojahasttii sutnje . #Sem/Plc #ERR-GRAM
Juste dat sátni 	čohkalahttá 	buot olbmuid beljiid ja áinnas go dakkár árvvus adnon almmái dakkáriid cealká . #Sem/Body (bealji) #CORR
Sii leat nu 	čohkan 	gaccaideaset , pussen linssaid ja leat dál nu gárvásat almmolaččat harcestit jos oktage buskestage . #Sem/Body #CORR
Ja de mii 	čohkkámet 	. #ERR-GRAM (čohkkáimet - čohkkát)
Muhto 	čohkket 	, čakčajohtin ja ealu guođohit leat garra rumašlaš barggut ja dat ii leat nu vuogas nissoniidda . #ERR-GRAM (čohkken, guođoheapmi)
» « Ášši lei 	čohkkon 	ovtta gieldda siskkimus keallerarkiivii » maid gielddabargit eai háliidan burgigoahtit . #?? #ERR-GRAM (čohkkejuvvon dahje lásihit hámi)
	čohkket 	vuordit ! #0 #ERR-DIS (čohkkedit?)
– 	Čohkket 	návccaid , dahje bargat #Sem/Feat #ERR-DIS
– Dalle livččii luonddulaš 	čohket 	čoahkkáldagaid Savio museai Mátta-Várjjagii , go gierddi dáiddár ieš lei guovllu olmmoš . #Sem/Event #Sem/Amount #ERR-GRAM (čohkket)
	Čohkket 	ovtta sadjái #Sem/Plc (Ill) #ERR-DIS (čohkkedit)
Tatijana Zhuravleva , Sámi gođusmállet , 	čohkket 	málliid gihppagii 1 500 . #Sem/ (Acc) Sem/Txt (Ill)
Marina Jurjeva , Máidnasat , 	čohkket 	P Jurjeva máidnasiid 2 000 . #Sem/Prod-ling #ERR-DIS
Lea áhkkit oaidnit guokte fávrru 	čohkkohallat 	guovttá ! #guovttá (ADVL) #ERR-GRAM (čohkohallat)
Dá 	čohkába 	davvisámedulkkaguovttos Berit Margrethe Oskal ja Brita E. Kåven bargosajis . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
	Čohkket 	oktii bearraliid , sáivačáhcebearraliid dahje biepmošaddo bearraliid . #oktii (ADVL) #ERR-DIS
Dasa gullet vuollegis goahccemuorravuovddit , main badjánit muhtin vuollegis 	čohkat 	nugo Čunuoaivi . #ERR-DIS 
Lea duorastat ja stuora muvravisttis , unna luohkkálanjaš , čohkkohallet 	5 gánddaža bevddiid duohken ja vuorddašit maid son sii odne galget oahppat . # (ADVL) #ERR-GRAM (čohkohallat)
– Boradanbáikkis dovden iežan dego prinseassan go bessen čohkkát kulturministara ja Sven Mollekleiva luhtte gii lea jođiheaddji Frivillighets Norges ja nuppe beal beavddi 	čohkkái 	gis Sámedikki presideanta Egil Olli . #Sem/Plc (ADVL) #ERR-DIS
Lavvosiste : Sámenissonat Máre Helander , Lise Johnsen ja Ingeborg Johnsen árrana guoras 	čohkkohallamin 	. #Sem/Plc (ADVL) #ERR-GRAM (čohkohallat)
