Boađus: 60¶
Dan lassin lea juolluduvvon prošeaktaruhtadeapmi máŋgga konkrehta doaibma- 	bidjui 	dáin suohkaniin .¶KONV...doaibma- 	bidjui...
Prošeakta 	bidjui 	johtui 2009:s ja dál álgá njealját jahki .¶ERR
Davvenuortta oassi orohat 12:s , Borsejogas davvin gitta Dárjohkii máddin biddjo orohat 9:i ( máttaoasseguovlu Oarje-Deanus ) mii lea ovddeš Buolbmága boazosuohkanis , ja máttaoarjeoassi Dárjogas davvin gitta Váljohkii // Ástevárrái máddin 	bidjui 	orohat 17:i .¶ERR
Bjerkås 	bidjui 	Grinii giddagassii dávddain « Jøssingismus psykopatica » .¶ERR
Vikkahit ahte rieban lea goddán lábbáid , muhto rieban láve čuovvut ja čoaggit stuorát návddiid bázahusaid ja daid fievrredit 	bidjui 	.¶
Muhto rieban láve čoaggit stuorát návddiid bázahusaid ja doalvut daid 	bidjui 	.¶
Rieban doalvu vaikko maid 	bidjui 	, dadjá Eriksen .¶
Salla gieldda davvioasis leat muhtimat leiken kemikálaávdnasiid geaŧkki 	bidjui 	.¶
Biret jávkkihii 	bidjui 	ovtta biškku ja de iđistii nuppi geaži olggos dakkár reaškasiin .¶
Ferten maid boradit albma dievva čoavjji ovdal go manan 	bidjui 	nohkat , dajai son .¶
	Min Aigi –¶
Ráđđehusdoaimmahuvvon mearrádus bellodagas dagahii ahte muhtin Megawatis vuostálasti 	bidjui 	bellodatjođiheaddjin .¶ERR
Máhcai guovdi 	bidjui 	!¶
Guovdi máhcai 	bidjui 	...¶
Okta olmmoš jámiid , ja Guatemala soahteveahka 	bidjui 	caggat stuimmiid .¶ERR
Finnmárkuláhka árvalus 	bidjui 	ovdan mannan giđa ja lea boktán stuorra digaštallama sisriikalaččat ja maiddái riikaidgaskasaččat , čállá sámeradio preassadieđáhusas .¶ERR
Báhče geatkki čivggaid 	bidjui 	¶
Nordlánddas bážii mánnodaga stáhta luonddu bearraigeahčču ( SNO ) guokte geatkki čivgga 	bidjui 	, muhto ciikku ribahedje mannat báhtui .¶
- Mii jáhkkit dehálažžan ahte lea juoga erenoamáš mánáide maid , lohká Utsi , gii sávvá ollu mánáid suotnjat 	bidjui 	geahččat filmmaid .¶
1999:s 	bidjui 	nu gohčoduvvon Nyborg-lávdegoddi johtui man ulbmil lei guorahallat doaimmaid mat sáhttet hehttet gávppašandeattu mánáid ja nuoraid ektui .¶ERR
- Dasa eat ožžon doarjaga , muhto GJSS evttohas aŋkke 	bidjui 	mielddusin riikačoahkkima mearrádussii .¶ERR
Dárogielplánen gelbbolašvuođaloktenbargu 	bidjui 	johtui mealgat ovdal go sámegielplánenbargu .¶ERR
Beaivvi maŋŋá go Aili Keskitalo 	bidjui 	almmolaččat Sámedikkepresideantan , de oaččui son vuoiŋŋašvardima ja sáddejuvvui Davvi-Norgga váldobuohccivissui Romsii .¶ERR
Go geainnu RV93 Álaheaju ja Guovdageainnu gaskka ođasmahttojuvvui , de 	bidjui 	geaidnu bajábeal dulvadanrájá .¶ERR
- Go mánná 	bidjui 	láhtái stoahkat , oaidnin dihtii mo mánná lea ovdánan rumašlaččat , de vieččastii nissondivššár duhkorasa mánnái .¶ERR
GOVVA : Sámeministtár Bjarne Håkon Hansen , Sámedikki presideanta Aili Keskitalo ja nuorta sámimusea stivrra jođiheaddji Øystein Nilsen ávvudeddje go čiehkageađgi 	bidjui 	nuortasámi musesai Njávdamis .¶ERR
Guttorm muitala ahte diimmá jahkečoahkkimis 	bidjui 	juo gáibádus Sámediggái ahte okta sin searvvis galgá leat mielde sámefoandda stivrras .¶ERR
	An Account of the Sami¶
Ja go dat orru biejus , de son manná ijaid mehciin ja beaivet boahtá fas 	bidjui 	.¶
Son lea lohpidan , ahte ii son daga maidege dasa guhte boahtá su lusa 	bidjui 	, vaikko son sávolaččas válddii oaivvi eret , go álggii su bidjat báddái ja roaŋkesuorpmaiguin gaccui su čalmmiid , dainna son suhtai ja válddii oaivvi eret sávolaččas .¶
	Science texts –¶
Čak čat čákŋá 	bidjui 	ja oađđá dassážii go ilbmi giđđat lieggana .¶
Fjellström muitala ahte dat goarjada almmá mangelágáš biepmu haga dan áiggi rájes čakčat mánu gaskamuttus golggot go manná 	bidjui 	gitta Tiburtiusa beaivvi rádjái Stil .¶
Dálvi álgá goas ( sáJ ) dedje ahte dálvi álgá dalle go guovža manná 	bidjui 	( Grundström 1946–1954 : 1071 ) ja gaskadálvve muddui , dahje dárkileappot mánu 14. b. ( Bø 1981 ( 1956–1978 ) : 615. ) dálvveidja lea , namalassii golggotmánu 14. beaivve .¶
Suollemas sániin olbmát várrugasat lahkanadde 	bidjui 	, amas guovžafeasta duššái mannat ; feasta man buohkat vurde .¶
